Device,App package,App name,Start time,Start time ms,Duration ms
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 02:15:00 GMT+01:00 2021",1639185300220,3409
Redmi Note 8 Pro,"com.mi.globalbrowser","Przeglądarka","Sat Dec 11 02:15:00 GMT+01:00 2021",1639185300943,1783
Redmi Note 8 Pro,"com.funtomic.matchmasters","Match Masters","Sat Dec 11 02:15:03 GMT+01:00 2021",1639185303631,98102
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 02:16:41 GMT+01:00 2021",1639185401734,2746
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 02:16:44 GMT+01:00 2021",1639185404520,87898
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 02:18:12 GMT+01:00 2021",1639185492426,1542
Redmi Note 8 Pro,"com.facebook.orca","Messenger","Sat Dec 11 02:18:14 GMT+01:00 2021",1639185494026,19842
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 02:18:33 GMT+01:00 2021",1639185513869,9973
Redmi Note 8 Pro,"com.facebook.katana","Facebook","Sat Dec 11 02:18:43 GMT+01:00 2021",1639185523849,21757
Redmi Note 8 Pro,"com.google.android.permissioncontroller","Kontroler uprawnień","Sat Dec 11 02:19:05 GMT+01:00 2021",1639185545655,116
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 02:19:05 GMT+01:00 2021",1639185545809,4138
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 02:19:10 GMT+01:00 2021",1639185550066,3722
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 03:31:52 GMT+01:00 2021",1639189912484,4681
Redmi Note 8 Pro,"com.instagram.android","Instagram","Sat Dec 11 03:31:57 GMT+01:00 2021",1639189917181,270488
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 03:36:27 GMT+01:00 2021",1639190187669,33138
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 03:36:28 GMT+01:00 2021",1639190188743,937
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 03:36:34 GMT+01:00 2021",1639190194821,1872
Redmi Note 8 Pro,"android","System Android","Sat Dec 11 03:37:00 GMT+01:00 2021",1639190220872,3132
Redmi Note 8 Pro,"cn.wps.xiaomi.abroad.lite","Mi Przeglądarka dokumentów (obsługiwana przez WPS)","Sat Dec 11 03:37:04 GMT+01:00 2021",1639190224054,17856
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 03:37:21 GMT+01:00 2021",1639190241915,71664
Redmi Note 8 Pro,"com.google.android.permissioncontroller","Kontroler uprawnień","Sat Dec 11 03:38:33 GMT+01:00 2021",1639190313628,102
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 03:38:33 GMT+01:00 2021",1639190313759,6079
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 03:38:39 GMT+01:00 2021",1639190319884,608745
Redmi Note 8 Pro,"com.google.android.permissioncontroller","Kontroler uprawnień","Sat Dec 11 03:48:46 GMT+01:00 2021",1639190926524,2135
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 03:48:46 GMT+01:00 2021",1639190926558,27560
Redmi Note 8 Pro,"com.android.deskclock","Zegar","Sat Dec 11 03:49:14 GMT+01:00 2021",1639190954185,37303
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 03:49:51 GMT+01:00 2021",1639190991489,7118
Redmi Note 8 Pro,"com.funtomic.matchmasters","Match Masters","Sat Dec 11 03:49:58 GMT+01:00 2021",1639190998667,127413
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 03:52:06 GMT+01:00 2021",1639191126081,4774
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 10:40:16 GMT+01:00 2021",1639215616328,40914
Redmi Note 8 Pro,"com.microsoft.office.outlook","Outlook","Sat Dec 11 10:40:57 GMT+01:00 2021",1639215657287,64037
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 10:42:01 GMT+01:00 2021",1639215721325,1570
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 10:42:02 GMT+01:00 2021",1639215722975,69089
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 10:43:12 GMT+01:00 2021",1639215792070,3409
Redmi Note 8 Pro,"pl.edu.pw.mobilny","Mobilny USOS PW","Sat Dec 11 10:43:15 GMT+01:00 2021",1639215795525,28144
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 10:43:43 GMT+01:00 2021",1639215823670,2552
Redmi Note 8 Pro,"com.google.android.youtube","YouTube","Sat Dec 11 10:43:46 GMT+01:00 2021",1639215826239,278094
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 10:48:24 GMT+01:00 2021",1639216104346,1693
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 11:59:18 GMT+01:00 2021",1639220358261,1640
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 11:59:19 GMT+01:00 2021",1639220359968,97930
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 12:00:57 GMT+01:00 2021",1639220457899,9232
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 12:01:03 GMT+01:00 2021",1639220463817,266863
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 12:10:38 GMT+01:00 2021",1639221038659,101181
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 12:38:39 GMT+01:00 2021",1639222719372,38803
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 12:39:18 GMT+01:00 2021",1639222758183,4642
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 12:43:28 GMT+01:00 2021",1639223008440,2082
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 13:53:05 GMT+01:00 2021",1639227185024,1259
Redmi Note 8 Pro,"com.google.android.dialer","Telefon","Sat Dec 11 13:53:06 GMT+01:00 2021",1639227186301,46120
Redmi Note 8 Pro,"com.google.android.dialer","Telefon","Sat Dec 11 13:54:00 GMT+01:00 2021",1639227240627,346223
Redmi Note 8 Pro,"com.google.android.dialer","Telefon","Sat Dec 11 14:17:02 GMT+01:00 2021",1639228622301,3101
Redmi Note 8 Pro,"com.google.android.dialer","Telefon","Sat Dec 11 14:38:04 GMT+01:00 2021",1639229884587,4181
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 14:38:08 GMT+01:00 2021",1639229888769,976
Redmi Note 8 Pro,"com.google.android.apps.messaging","Wiadomości","Sat Dec 11 14:38:09 GMT+01:00 2021",1639229889763,76415
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 14:39:26 GMT+01:00 2021",1639229966183,9538
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 14:39:35 GMT+01:00 2021",1639229975763,30300
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 14:40:58 GMT+01:00 2021",1639230058100,39626
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 14:41:02 GMT+01:00 2021",1639230062717,2071
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 14:41:37 GMT+01:00 2021",1639230097726,6748
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 14:41:44 GMT+01:00 2021",1639230104512,321877
Redmi Note 8 Pro,"com.android.chrome","Chrome","Sat Dec 11 14:49:32 GMT+01:00 2021",1639230572767,1204482
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 15:09:37 GMT+01:00 2021",1639231777254,7131
Redmi Note 8 Pro,"com.funtomic.matchmasters","Match Masters","Sat Dec 11 15:09:44 GMT+01:00 2021",1639231784434,1037618
